0.85	17.45	1
0.75	15.6	1
3.3	15.45	2
5.25	14.2	2
4.9	15.65	2
5.35	15.85	2
5.1	17.9	2
4.6	18.25	2
4.05	18.75	2
3.4	19.7	2
2.9	21.15	2
3.1	21.85	2
3.9	21.85	2
4.4	20.05	2
7.2	14.5	2
7.65	16.5	2
7.1	18.65	2
7.05	19.9	2
5.85	20.55	2
5.5	21.8	2
6.55	21.8	2
6.05	22.3	2
5.2	23.4	2
4.55	23.9	2
5.1	24.4	2
8.1	26.35	2
10.15	27.7	2
9.75	25.5	2
9.2	21.1	2
11.2	22.8	2
12.6	23.1	2
13.25	23.5	2
11.65	26.85	2
12.45	27.55	2
13.3	27.85	2
13.7	27.75	2
14.15	26.9	2
14.05	26.55	2
15.15	24.2	2
15.2	24.75	2
12.2	20.9	2
12.15	21.45	2
12.75	22.05	2
13.15	21.85	2
13.75	22	2
13.95	22.7	2
14.4	22.65	2
14.2	22.15	2
14.1	21.75	2
14.05	21.4	2
17.2	24.8	2
17.7	24.85	2
17.55	25.2	2
17	26.85	2
16.55	27.1	2
19.15	25.35	2
18.8	24.7	2
21.4	25.85	2
15.8	21.35	2
16.6	21.15	2
17.45	20.75	2
18	20.95	2
18.25	20.2	2
18	22.3	2
18.6	22.25	2
19.2	21.95	2
19.45	22.1	2
20.1	21.6	2
20.1	20.9	2
19.9	20.35	2
19.45	19.05	2
19.25	18.7	2
21.3	22.3	2
22.9	23.65	2
23.15	24.1	2
24.25	22.85	2
22.05	20.25	2
20.95	18.25	2
21.65	17.25	2
21.55	16.7	2
21.6	16.3	2
21.5	15.5	2
22.4	16.5	2
22.25	18.1	2
23.15	19.05	2
23.5	19.8	2
23.75	20.2	2
25.15	19.8	2
25.5	19.45	2
23	18	2
23.95	17.75	2
25.9	17.55	2
27.65	15.65	2
23.1	14.6	2
23.5	15.2	2
24.05	14.9	2
24.5	14.7	2
14.15	17.35	2
14.3	16.8	2
14.3	15.75	2
14.75	15.1	2
15.35	15.5	2
15.95	16.45	2
16.5	17.05	2
17.35	17.05	2
17.15	16.3	2
16.65	16.1	2
16.5	15.15	2
16.25	14.95	2
16	14.25	2
15.9	13.2	2
15.15	12.05	2
15.2	11.7	2
17	15.65	2
16.9	15.35	2
17.35	15.45	2
17.15	15.1	2
17.3	14.9	2
17.7	15	2
17	14.6	2
16.85	14.3	2
16.6	14.05	2
17.1	14	2
17.45	14.15	2
17.8	14.2	2
17.6	13.85	2
17.2	13.5	2
17.25	13.15	2
17.1	12.75	2
16.95	12.35	2
16.5	12.2	2
16.25	12.5	2
16.05	11.9	2
16.65	10.9	2
16.7	11.4	2
16.95	11.25	2
17.3	11.2	2
18.05	11.9	2
18.6	12.5	2
18.9	12.05	2
18.7	11.25	2
17.95	10.9	2
18.4	10.05	2
17.45	10.4	2
17.6	10.15	2
17.7	9.85	2
17.3	9.7	2
16.95	9.7	2
16.75	9.65	2
19.8	9.95	2
19.1	9.55	2
17.5	8.3	2
17.55	8.1	2
17.85	7.55	2
18.2	8.35	1
19.3	9.1	1
19.4	8.85	1
19.05	8.85	1
18.9	8.5	1
18.6	7.85	1
18.7	7.65	1
19.35	8.2	1
19.95	8.3	1
20	8.9	2
20.3	8.9	1
20.55	8.8	1
18.35	6.95	1
18.65	6.9	1
19.3	7	1
19.1	6.85	1
19.15	6.65	1
21.2	8.8	1
21.4	8.8	1
21.1	8	1
20.4	7	1
20.5	6.35	1
20.1	6.05	1
20.45	5.15	1
20.95	5.55	1
20.95	6.2	1
20.9	6.6	1
21.05	7	1
21.85	8.5	1
21.9	8.2	1
22.3	7.7	1
21.85	6.65	1
21.3	5.05	1
22.6	6.7	1
22.5	6.15	1
23.65	7.2	1
24.1	7	1
21.95	4.8	1
22.15	5.05	1
22.45	5.3	1
22.45	4.9	1
22.7	5.5	1
23	5.6	1
23.2	5.3	1
23.45	5.95	1
23.75	5.95	1
24.45	6.15	1
24.6	6.45	1
25.2	6.55	1
26.05	6.4	1
25.3	5.75	1
24.35	5.35	1
23.3	4.9	1
22.95	4.75	1
22.4	4.55	1
22.8	4.1	1
22.9	4	1
23.25	3.85	1
23.45	3.6	1
23.55	4.2	1
23.8	3.65	1
23.8	4.75	1
24.2	4	1
24.55	4	1
24.7	3.85	1
24.7	4.3	1
24.9	4.75	1
26.4	5.7	1
27.15	5.95	1
27.3	5.45	1
27.5	5.45	1
27.55	5.1	1
26.85	4.95	1
26.6	4.9	1
26.85	4.4	1
26.2	4.4	1
26	4.25	1
25.15	4.1	1
25.6	3.9	1
25.85	3.6	1
24.95	3.35	1
25.1	3.25	1
25.45	3.15	1
26.85	2.95	1
27.15	3.15	1
27.2	3	1
27.95	3.25	1
27.95	3.5	1
28.8	4.05	2
28.8	4.7	2
28.75	5.45	2
28.6	5.75	2
29.25	6.3	2
30	6.55	2
30.6	3.4	2
30.05	3.45	2
29.75	3.45	2
29.2	4	2
29.45	4.05	2
29.05	4.55	2
29.4	4.85	2
29.5	4.7	2
29.9	4.45	2
30.75	4.45	2
30.4	4.05	2
30.8	3.95	2
31.05	3.95	2
30.9	5.2	2
30.65	5.85	2
30.7	6.15	2
31.5	6.25	2
31.65	6.55	2
32	7	2
32.5	7.95	2
33.35	7.45	2
32.6	6.95	2
32.65	6.6	2
32.55	6.35	2
32.35	6.1	2
32.55	5.8	2
32.2	5.05	2
32.35	4.25	2
32.9	4.15	2
32.7	4.6	2
32.75	4.85	2
34.1	4.6	2
34.1	5	2
33.6	5.25	2
33.35	5.65	2
33.75	5.95	2
33.4	6.2	2
34.45	5.8	2
34.65	5.65	2
34.65	6.25	2
35.25	6.25	2
34.35	6.8	2
34.1	7.15	2
34.45	7.3	2
34.7	7.2	2
34.85	7	2
34.35	7.75	2
34.55	7.85	2
35.05	8	2
35.5	8.05	2
35.8	7.1	2
36.6	6.7	2
36.75	7.25	2
36.5	7.4	2
35.95	7.9	2
36.1	8.1	2
36.15	8.4	2
37.6	7.35	2
37.9	7.65	2
29.15	4.4	2
34.9	9	2
35.3	9.4	2
